"","MM001.1","MM001.2","MM001.3","MM001.4","MM002.1","MM002.2","MM003.1","MM003.2","MM004.1","MM004.2","MM005.1","MM005.2","MM005.3","MM006.1","MM006.2","MM007","MM008.1","MM008.2","MM008.3","MM009.1","MM009.2","MM010","MM011","MM012.1","MM012.2","MM013.1","MM013.2","MM013.3","MM014","MM015.1","MM015.2","MM016.1","MM016.2","MM016.3","MM017","MM018","MM019.1","MM019.2","MM019.3","MM020.1","MM020.2","MM020.3","MM021.1","MM021.2","MM021.3","MM021.4","MM022.1","MM022.2","MM022.3","MM023.1","MM023.2","MM024.1","MM024.2","MM024.3","MM025","MM026.1","MM026.2","MM027.1","MM027.2","MM027.3","MM028.1","MM028.2","MM029.1","MM029.2","MM029.3","MM030.1","MM030.2","MM031","MM032.1","MM032.2","MM032.3","MM032.4","MM033.1","MM033.2","MM033.3","MM033.4","MM034.1","MM034.2","MM034.3","MM035.1","MM035.2","MM036","MM037.1","MM037.2","MM038","MM039","MM040.1","MM040.2","MM041.1","MM041.2","MM042.1","MM042.2","MM043.1","MM043.2","MM044.1","MM044.2","MM045.1","MM045.2","MM046.1","MM046.2","MM046.3","MM047.1","MM047.2","MM047.3","MM048.1","MM048.2","MM049.1","MM049.2","MM050.1","MM050.2","MM050.3","MM050.4","MM051","MM052.1","MM052.2","MM053","MM054.1","MM054.2","MM055.1","MM055.3","MM055.4","MM055.5","MM055.6","MM055.7","MM056.1","MM056.2","MM057.1","MM057.10","MM057.11","MM057.12","MM057.2","MM057.3","MM057.4","MM057.5","MM057.6","MM057.7","MM057.8","MM057.9","MM058.1","MM058.2","MM059.1","MM059.2","MM060.1","MM060.2","MM061","MM062.1","MM062.2","MM063","MM064.1","MM064.2","MM065","MM066","MM068.1","MM068.2","MM069","MM070.1","MM070.2","MM070.3","MM071.2","MM071.3","MM072.1","MM072.2","MM074.1","MM074.2","MM075.1","MM075.2","MM077","MM078","MM079.1","MM079.2","MM080","MM081","MM082","MM083.1","MM083.2","MM083.3","MM083.4","MM083.5","MM084","MM085.1","MM085.2","MM086.2","MM086.3","MM086.5","MM086.6","MM087.1","MM087.2","MM088","MM089.1","MM089.2","MM090.1","MM090.2","MM090.3","MM091.1","MM091.2","MM091.3","MM091.4","MM092","MM093","MM094.1","MM094.2","MM096","MM098.1","MM098.10","MM098.11","MM098.12","MM098.13","MM098.14","MM098.15","MM098.2","MM098.3","MM098.4","MM098.5","MM098.6","MM098.7","MM098.8","MM098.9","MM099.1","MM099.2","MM099.3","MM099.4","MM100.1","MM100.2","MM101.1","MM101.2","MM103.1","MM103.2","MM103.3","MM104"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas",0,0,0,0,0,0,0,0,0,0.00238,0.21779,0,0,0,0,0,0,0,0.00946,0.00617,0,0,0,0,0,0.01422,0,0,0,0,0,0,0,0.05423,0,0,0,0,0.01904,0,0,0,0,0,0,0,0.02105,0.2342,0,0,0,0,0.04985,0.28221,0,0,0,0,0,0,0,0,0,0.25632,0.01331,0.08282,0,0,0.00434,0,0,0.08212,0,0,0,0,0,0,0,0,0.1402,0,0.22946,0,0,0,0,0,0.00344,0.0662,0.02257,0,0,0.0699,0,0,0,0.00335,0,0,0,0,0.06357,0.08281,0,0,0,0,0,0,0,0.00513,0.31893,0.00609,0,0,0,0,0,0,0,0,0,0,0.02895,0,0,0.13349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14416,0,0,0,0,0,0,0.01173,0,0.30491,0,0,0,0,0,0.61942,0,0,0,0,0,0.2046,0,0,0,0,0.21297,0,0,0.12558,0,0,0,0,0,0,0,0,1.24248,0.07027,0,0,0,0,0,0,0.01288,0,0.0552,0,0.00327,0,0.21035,0,0,0,0,0,0,0,0,0,0,0,0.00322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22736,0.26032,0.76064,0,0,0,0.36887,0.14904,0.49599
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_S7_1_8",0,0,0,0,0,0,0,0,0,0.67127,0,0,0,0,0,0,0,0,0,0,0,0.27892,0,0,0,0,0,0,0.97371,0,0,0,0,0,0.06573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00876,0.01981,0.61332,0.46739,0,0,0,0,0,0,0,0,0,0,0,0.0284,0,3.80702,0,0,0.62267,0,0,0.01612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08557,0.06048,0,0,5.66876,1.89461,0,0,0,0,0,0,0.00614,0,0,0,0,0,0,0,0,0,0,0.981,0.28128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03722,12.99533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115,0,0,0,0,0,0.05056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05209,0,0,0,0,0,0,0,0,0,0,0.1285,0,0,0,0,2.82588,0,0,0,0,0.01667,0,0,1.29463,1.24844,5.881,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0,0.07344,0.46073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19981,0,0.65705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter|s__Pyramidobacter_piscolens",0,0,0,0,0,0,0,0,0,0.06694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01775,0,0,0,0,0,0,0,0,0,0.88091,0,0,0,0,0,0,0,0.14002,0,0,0,0,0,0.21221,11.07854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177,0,0,0.02187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_964",0,0,0,0,0,0,0,0,0,0.05867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_488",0,0,0,0,0,0,0,0,0,0.03292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7256,0,0.04197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonellaceae_unclassified|s__Veillonellaceae_bacterium_DNF00626",0,0,0,0,0,0,0,0,0,0.03038,0.1962,0.76741,0.44067,0,0,0,0,0,0,0,0,0.43405,0.0025,0,0,0,0,0,0,0,0,0,0,0,0.88193,0,0,0,0,0,0.01187,0,0,0.10264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01492,0,0,0,0,0,0,0,0,0,0,0.41798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_porcorum",0,0,0,0,0,0,0,0,0,0.02698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485,0,0,0.02152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04481,0,0,0,0,0.01571,0,0,0,0,0,0,0,0,0,0,0,0.02056,0,0,0,0,0,0,0,0.05872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17269,0,0,0,0,0,0,0,0.05977,0.18517,0.499,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus",0,0,0,0,0,0,0,0,0,0.02579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02675,0,0,0,0,0,0,0,0.30031,0.02494,0,0,0,0,0,0,0.01911,0,0,0,0.00588,35.18508,6.88638,0,0,0,0,0,0.05534,0,0,0,0,0,0,0,0,0,0.96825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0.01324,0,0,0,0,0.30804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17711,0,0,0,0,0,0,0,0,0,0,0,0.07254,0,0,0,0,0,0,0,0,0,0,0,0.06117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02542,0,0,0,0,0,0,0,0,0,0,8.16056,1.81047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468,7.64988,0.0398,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris",0,0,0,0,0,0,0,0,0,0.01579,0.28265,0,0,2.18438,0,0,0.09494,0.66639,0.3739,0.00202,0,0,0,0,0,0.33416,0,0.02161,0,0.47307,0.14891,0,0,0,0.02301,0,0,0.02457,1.06259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30395,0.05941,0,0,0.79576,0,0,0,0,0,0,0.02374,0.00508,0,0,0,0,0,0,0,0.27198,0.30914,0.09739,0.57922,0,0,0,0,0,0,0.2869,0,0,0,0,0,0,0,0.53295,0,0,0.01076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17155,0.24984,0.15789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05905,0.07782,0,0,0,0,0,0.03824,0,0,0,0,0,0,0,0,0.03259,1.18521,0,0,0,0,0,0,0,0,0,0,0,0,0.01323,0,0,0,0,0.05405,1.43374,0.11861,0,0,0,0.04454,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0.08369,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88957,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_dextrinicus",0,0,0,0,0,0,0,0,0,0.01098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66983,0.33885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03891,0,0,0,0,0.39625,0,0,0.00452,0,0,0,0,0,0,1.63868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251",0,0,0,0,0,0,0,0,0,0.00706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01559,0,0,0,1.20104,1.10263,0,0,0,0,0,0.19992,0.00526,1.6004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53923,0.12879,0.35239,0,0,0,0,0,0,0,0,0,4.58128,0,0,1.17778,0.28579,0.17067,0.16388,0,0,0,0,0.01644,0,0,0,0,0,0,0,1.14462,0.03275,0,0,0,0.03954,0,0,0,0,0,0,0,0,0,0,0.22671,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20661,0,0,0,0,0,0,0,0,0.12908,0,0,0,0,0,0,0,0,0,0.05756,0,2.77837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78264,0,0,0,0,0,0,0.01241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis",0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0,0,0.01738,0.02811,0,0,0.00272,0,0,0,0,0,0,0,0,0.01765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02311,0.26986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02894,0,0,0,0,0,0,0,0,0,0,0,0,0.04217,0,0.01934,0.24193,0,0.07022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03564,0.07997,0,0,0,0,0,0,0,0,0,0,0,0,0.06817,0.00374,0.07464,0,0,0,0,0,0.34363,0.79512,0,0,0,0,0,0,0,0.07067,0.00551,0,0,0,0,0,0,0,1.96997,0.30756,0,0.59479,0,0,0.02907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme",0,0,0,0,0,0,0,0,0,0.00572,0,0,0,0.31566,0,0,0.00615,0,0,0.10512,0,0,0,0,0,0,0,0,0.1149,0.08448,1.65427,0,0.03227,0.00557,0,0,0,0.00518,0,0,0.34437,0.0583,0.18416,0,0,0.00461,0.0143,0,0,0,0,0,0,0,0,0,0.04662,0,0.0443,0,0,0,0,0.07125,0.08986,0.00141,0,0,4.70979,1.17637,0.13856,0.01522,0,0,0.03252,0.02984,0,0.06588,0,1.49389,0.11948,0,0,0,0,0,3.18995,12.73607,0.02965,0.07266,0,0,0.05731,0,0,0,0.30245,0.04208,0,0,0,0,0.0695,0.33359,0,0,0,0,0,0,0,0,2.32153,0.00512,0.01912,0,0.05153,0,0,1.00155,1.2267,1.10549,2.44688,0.23011,2.89676,16.31452,0,8.85025,14.02083,16.88119,0,26.96507,0,0,0.62455,0.31254,10.66069,10.73219,0.13838,3.00928,0,0.00253,0,0.05865,0,0,0,0.01636,0.03607,1.09416,0,1.05113,0.04474,0.08451,0,0,0.00582,0,0.30585,0,0,0,0,0,0,0,0,2.53583,0.19265,0.26461,0.2826,0,0,0.10504,0.155,0.2458,0.02176,0.02324,0.05626,0,0,0.69508,0.00709,0.00272,0.00485,0.03447,0.22062,0,0,0.90142,0,0,0,2.53712,0,0.01588,0,0,6.9391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63362,0,0.04942,0,0,3.14975,0,0,0,0,0,0.95435
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis",0,0,0,0,0,0,0,0,0,0.00384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02897,0,0,0,0.04475,0,0.01786,0,0,6.01057,1.65168,0,0.26258,0.02491,0,0,0,0,0,0.66013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04223,0,0,0,0,0,0,0,1.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01781,0.01639,0.02026,0,0,0,0,0,0,0,0,0.23724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_georgiana",0,0,0,0,0,0,0,0,0,0.00246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa",0,0,0,0,0,0,0,0,0,0.00238,0.17993,0,0,0,0,0,0,0,0.00946,0.00518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01846,0,0,0,0,0.01904,0,0,0,0,0,0,0,0,0.01715,0,0,0,0,0.04985,0.28221,0,0,0,0,0,0,0,0,0,0.15388,0.01331,0.08282,0,0,0,0,0,0.08212,0,0,0,0,0,0,0,0,0.10793,0,0.04241,0,0,0,0,0,0.00344,0.02917,0.02257,0,0,0.06777,0,0,0,0.00335,0,0,0,0,0.06357,0.08281,0,0,0,0,0,0,0,0,0.31893,0,0,0,0,0,0,0,0,0,0,0,0.02895,0,0,0.13349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02719,0,0,0,0,0,0,0.01065,0,0.20945,0,0,0,0,0,0.61836,0,0,0,0,0,0.17289,0,0,0,0,0.21297,0,0,0.00563,0,0,0,0,0,0,0,0,1.20008,0.07027,0,0,0,0,0,0,0,0,0.0552,0,0,0,0.21035,0,0,0,0,0,0,0,0,0,0,0,0.00322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22736,0.22563,0.76064,0,0,0,0.30069,0.14904,0.49599
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_citreum",0,0,0,0,0,0,0,0,0,0.00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20516,0.01529,0,0,0,0.16523,0,0,0,0,0,0,0,0,0,0,59.31837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08586,0,0,0,0,0,0,0,0,0.00251,0,1.99625,0,0.0314,0,0,0.14281,0,0,0,0,0,0,0,0.67679,0,0,0,0,0,0,0,0,0,0.02168,0,0,6.78006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02057,0,0,0,0.01781,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0.532,2.24988,50.48998,1.3211,0.69868,0,0,0.14865,0.88765,0,0.00934,0,1.27972,0.00137,1.41438,0.08715,6.9233,0.06494,0.6806,0.74765,14.42203,34.9915,23.66224,31.45462,14.80729,0,0,14.1715,0,0,0.12325,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0.02343,0,0,0,0,0,0,0,0,0.0086,0.0865,0.09503,0,0,0.02885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05075,0,0,0.00722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03037,0.00407,0.00212,0.02744,0,0,0,0,0,0,0,0,0,0,0,0,0.74221,0,0,0.05934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01163,0,0,0,0,0,0,0,0,0,0.04403,0,0,1.1862,0,0,0,0,0,0,0,0,0,0.02537,0,0,0,0,0,0,0.00085,0,0,0,0,0.00487,0,0,0,0,0,0,2.76851,0,0,0.00263,0.06819,0,0,0,0,0,0,0,0,0,0,0.04314,0,0,0.12911,0,0.75994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44505
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae",0,0,0,0,0,0,0,0,0,0,0.4013,0.27563,0.65751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67718,0,7.95909,0,0,0,0,0,0,0,0,0,0,0,0.00352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29398,0,0,0,0,0,0,0,0,0,0,0,0.10235,0,0,0,0,0.15154,0,0,0,0,0,0.15568,0,0,0,0,0,0,0,0,0,0,0.13858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.14284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified",0,0,0,0,0,0,0,0,0,0,0.13038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
