"","p8582_mo1","p8582_mo10","p8582_mo11","p8582_mo12","p8582_mo2","p8582_mo3","p8582_mo4","p8582_mo5","p8582_mo6","p8582_mo7","p8582_mo8","p8582_mo9","p8585_mo1","p8585_mo2","p8585_mo3","p8585_mo4","p8585_mo6","p8585_mo7","p8585_mo8","p8585_mo9","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8600_mo8","p8600_mo9","p8646_mo1","p8646_mo10","p8646_mo11","p8646_mo12","p8646_mo2","p8646_mo3","p8646_mo4","p8646_mo5","p8646_mo6","p8646_mo7","p8646_mo8","p8646_mo9","p8649_mo1","p8649_mo10","p8649_mo11","p8649_mo12","p8649_mo2","p8649_mo3","p8649_mo4","p8649_mo5","p8649_mo6","p8649_mo7","p8649_mo8","p8649_mo9","p8712_mo1","p8712_mo10","p8712_mo11","p8712_mo12","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8748_mo10","p8748_mo11","p8748_mo12","p8748_mo4","p8748_mo5","p8748_mo6","p8748_mo7","p8748_mo8","p8748_mo9","p8775_mo1","p8775_mo10","p8775_mo11","p8775_mo12","p8775_mo2","p8775_mo3","p8775_mo4","p8775_mo5","p8775_mo6","p8775_mo7","p8775_mo8","p8775_mo9","p8808_mo10","p8808_mo11","p8808_mo12","p8808_mo4","p8808_mo5","p8808_mo6","p8808_mo7","p8808_mo8","p8808_mo9","p8816_mo1","p8816_mo10","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo8","p8816_mo9","p8855_mo10","p8855_mo11","p8855_mo12","p8855_mo3","p8855_mo4","p8855_mo8","p8855_mo9","p8883_mo10","p8883_mo11","p8883_mo12","p8883_mo2","p8883_mo3","p8883_mo4","p8883_mo6","p8883_mo7","p8883_mo8","p8883_mo9","p9061_mo1","p9061_mo2","p9061_mo3","p9061_mo4","p9061_mo5","p9061_mo6","p9061_mo7","p9061_mo8","p9193_mo1","p9193_mo2","p9193_mo4","p9193_mo5","p9193_mo6","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p9220_mo1","p9220_mo2","p9220_mo3","p9220_mo4","p9220_mo5","p9220_mo6","p9220_mo7","p9223_mo1","p9223_mo2","p9223_mo3","p9223_mo4","p9223_mo5","p9223_mo6","p9223_mo7","p9223_mo8","p9281_mo1","p9281_mo2","p9281_mo3","p9281_mo4","p9281_mo5","p9281_mo6","SKST006_1_G102959","SKST006_10_G102994","SKST006_2_G102960","SKST006_3_G102961","SKST006_4_G102962","SKST006_5_G102963","SKST006_6_G102964","SKST006_7_G102965","SKST006_9_G103014","SKST007_1_G102966","SKST007_2_G102967","SKST007_3_G102949","SKST007_4_G102948","SKST007_6_G102995","SKST007_7_G103016","SKST007_8_G102999","SKST010_1_G102968","SKST010_2_G102969","SKST010_3_G102970","SKST010_4_G102956","SKST010_5_G102990","SKST010_6_G103004","SKST010_7_G103003","SKST010_8_G102998","SKST011_1_G102971","SKST011_2_G102972","SKST011_3_G102973","SKST011_4_G102952","SKST011_5_G102993","SKST011_6_G103002","SKST011_7_G103017","SKST011_8_G103000","SKST012_1_G102974","SKST012_2_G102975","SKST012_3_G102950","SKST012_4_G102954","SKST012_5_G102992","SKST012_6_G102997","SKST014_1_G102976","SKST014_2_G102977","SKST014_3_G102978","SKST014_4_G102979","SKST014_5_G102980","SKST014_6_G102951","SKST014_7_G102940","SKST023_1_G102981","SKST023_2_G102987","SKST023_3_G102941","SKST023_4_G102937","SKST023_5_G103007","SKST023_6_G103009","SKST023_7_G103015","SKST024_1_G102982","SKST024_2_G102953","SKST024_3_G102944","SKST024_4_G102938","SKST024_5_G103001","SKST024_6_G103012","SKST024_7_G103022","SKST024_8_G103031","SKST025_1_G102983","SKST025_2_G102986","SKST025_3_G102942","SKST025_4_G102939","SKST025_5_G103006","SKST025_6_G103010","SKST025_9_G103021","SKST027_1_G102984","SKST027_10_G102936","SKST027_11_G102996","SKST027_12_G103011","SKST027_2_G102985","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST032_1_G102943","SKST032_2_G102946","SKST032_3_G102989","SKST032_4_G103008","SKST032_5_G103024","SKST036_1_G103013","SKST036_2_G103020","SKST036_3_G103025","SKST037_2_G103023","SKST037_3_G103026","SKST041_1_G103005","SKST041_2_G103027","SKST041_3_G103028"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia|s__Harryflintia_acetispora",0,0.0056,0.00185,0,0,0,0,0.00604,0,0.00327,0.00636,0,0,0,0,0,0,0,0,0.00457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617,0,0.02265,0,0,0,0,0,0.04565,0.03944,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03447,0,0,0,0.02722,0.05065,0.03985,0.00461,0.02574,0.0277,0.00113,0,0,0,0,0,0,0,0,0,0,0.01156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.00729,0.02776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192,0,0.06438,0,0,0,0.02545,0.01395,0.03401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0,0.00419,0.00187,0,0,0,0,0,0,0,0.00135,0,16.61479,2.03493,5.38661,4.59336,0.88205,2.0767,3.84216,1.01526,0,0,2.72554,6.65799,0,0,0,0,0.55059,0.00042,0.00248,0.00304,0,2.06263,4.58012,3.19695,0,1.65852,10.9089,3.32902,0.04126,2.14508,1.36229,7.90086,0.29683,0.46772,0,3.27485,2.96413,2.4527,4.71761,0,2.1119,2.14901,6.04692,1.42934,9.89841,12.72903,3.25524,8.02485,3.89196,16.87052,3.39852,21.14514,31.59022,4.40905,11.77654,18.37845,5.31319,4.91826,11.23639,4.34179,13.67435,11.34234,10.05376,3.18888,2.16049,2.18595,4.51438,1.0022,0.9749,0.83663,0.77374,0.57128,0.57644,0.65821,0.40585,2.06308,0.05914,0,0.0325,0.03975,0.01338,0.10469,0,0.01315,0.06579,0,0.00184,0,0,0.00879,0.00605,0,0,4e-04,0,0,0,0,0,0.04044,0.01035,9.98713,4.1178,5.95286,0.01969,0,0,0,0.01337,0,0,0,0,0.21512,0,0.00216,0,0,0,0,0,0,0,0.41252,1.63131,0.8798,0.8543,1.44255,0.09794,0.1705,0,1.8184,0.02502,0,0.00856,0.00663,0.00241,2.92369,1.73873,2.32997,1.94387,1.90739,13.60682,1.67294,0.3158,1.04102,0.50319,0.23674,0.33941,0.11378,0.53405,0.15021,0.30624,0.44571,0.21876,0.19334,0.89841,0,0,0,0,0,0,0,0,0.98007,15.87705,0,0,0,0,0,0,0,2.56576,0.05251,15.59733,0.92507,0.23462,1.01041,0.60099,0.30292,0.23824,0.15367,0.24391,0.33852,1.28357,0.5412,0.13421,0.33868,0.76034,2.49317,0.5407,1.40995,0.29354,1.36507,0,0.52434,0,0,0,0,0,0.01778,0,3.29875,1.89388,0.0091,2.49588,0.4449,0.03098,2.2711,2.63898,1.46925,0.05821,1.32585,0.46379,0.32566,2.80641,17.38875,30.82116,31.33112,0.35508,37.06405,0.01953,0,0,8.21427,6.78846,0.5756,0,0.11005,0,0.01526,1.45328,0.95816,1.15646,0.21468,0.13389,0.84104,1.86821,0.40555,0.18297,0,0.22432,0.0195,0.02215
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__Catabacter|s__Catabacter_hongkongensis",0,0.00394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,0,0,0,0.00652,0.03572,0.08879,0.00695,0.21691,0.04907,0.1908,0.18826,0.04747,0.01571,0.01922,0,0,0,0,0,0,0.00437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00575,0.01,0,0.00784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04465,0,0,0,0,0,0.0048,0.0098,0,0,0,0.03174,0.00301,0,0.02103,0.13092,0,0.04336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi",0,0.0039,0.00309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819,0.00788,0,0.0035,0.50544,0.06739,0.03318,0.04327,0.27383,0.00474,0.26394,0.53632,0.27523,0.09182,0.03522,0.05486,0.01952,0.00295,0.00627,0.02167,5e-04,0.01934,0.0292,0.0699,0.06799,0.00364,0.0053,0.02371,0.22241,0.12243,0.88052,0.0052,0.19776,0.06293,0.15103,0,0.07201,0.04151,0.29036,0.00209,0.02231,0.01883,0.01089,0.01414,0,0,0,0,0.00509,0.01342,0.02545,0.00281,0,0,0,0,0,0,0,0,0,0.17479,0,0,0,0.01109,0,0,0,0,0,0,0,0,0.00372,0.05102,0,0,0.05272,0.01014,0.03279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33074,0.43836,0.02102,3.49586,2.55436,0.11583,0.62505,0,0.00638,0,0.00025,0.04708,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0.03776,0.02409,0.02781,0.09003,0.18892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31122,0.08568,0,0.1898,0.44424,0,0.27159,0.12014,0.01359,0.00375,0.01382,0,0.12715,0.22545,0.27633,0.05566,0.30972,0.53077,0.02126,0.10325,0,0.00767,0,0,0,0,0.00563,0,2.25654,0,0,0,0,0,0,0,0,0,0,0.00853,0,0,0,0,0.01422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40972,0.04364,0.00055,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae",0,0.00364,0.00111,0,0,0,0,0,0,0,0,0,0.25811,0.43244,0.11285,0.12977,1.85915,1.39955,1.77081,2.45422,0,0,0,0,0,0,0,0,0.01367,0,0.00282,0.001,0,0,0,0,0,0,0.57524,0.0013,0.00275,0.00228,0,0,0.60579,4.61767,1.0391,3.32327,2.00215,4.26729,5.40196,0,6.40348,3.18934,3.41572,3.80785,0.58818,0,0,0,0.86024,1.29437,1.76852,3.7947,3.17142,2.1394,2.50158,0,0.65456,1.00831,0.54078,0.49445,0.27733,0.2662,0.80243,1.432,0.961,1.82073,1.45872,0.79671,1.59856,3.27408,2.90871,2.78064,1.7355,1.96742,2.23276,1.80022,2.09432,0,0,0,0,0,0,0,0,0,0.46472,0.34492,1.04025,1.6121,0.0482,0.66318,0.50343,0.99498,0.31494,0.35362,1.36644,1.33087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23298,0.53886,0.83829,0.7978,0.55894,0.83146,3.74592,0,6.29686,2.77371,2.05786,0.81085,1.4681,0.83075,0.75418,0.86872,0.70332,0.74464,1.35118,0.38277,1.87469,0.58049,0.6584,0.62415,0.16212,0.9863,0.67165,0.57742,0.52786,0.58147,0.43275,0.50639,0.39342,0.65454,0,0,0,0,0,0,0,0,0,0,2.04341,3.38352,1.88034,1.89357,2.0382,0.73913,2.43672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96157,5.11859,5.53031,12.65706,4.91944,3.95495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47519,0.0539,0.41296,0.12134,0.64476,0.75822,1.47489,0.10588,8.36653,4.06773,0.40264,0.03076,5.12289,0,1.80707,0,0,0,0,0,2.93124,0.16482,0,0,0,0,0,0,0,0,1.82404,9.72117,0.8031,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241",0,0.00324,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23269,1.07228,0.70504,1.41852,0.80361,3.35471,0.54642,0.97673,1.76592,1.49285,2.13002,2.33312,0,0,0,0,0,0,0,0,0,1.69901,0.76147,1.6874,0.29167,0.26815,0.53137,0.49088,0.45026,2.35335,2.36577,0.68959,1.21579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09427,0.01076,0.46505,0.49868,0.72515,0.10321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07417,0.02814,0.02246,0.04023,0.06098,0,0,0,0,0,0,0,0,0,0,1.28613,0.20258,1.91047,0.50643,0.53319,0.05935,0.88866,0.05793,0.12612,0.02637,0.52786,0.00899,0,0.06633,0.14964,0.07875,1.17906,0.81532,0.29901,4.08522,2.32007,3.52859,1.35489,0.01201,0.21438,0.57687,2.04238,0.15263,0.32388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85069,0.62092,0,0,0,0,0,0,0,0.78093,0,0,0.22318,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii",0,0.00307,0.00116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163,0,2.57618,0,6.55478,0,0,0,0,0,0,0,11.41858,10.94206,10.83597,0,0,0,0.01612,0,0,0,0.00083,0.00199,0.00166,0,0,0.0034,3.09121,0,0,0,0.00056,0,0,0.00089,0.00083,0.05353,2.94768,0,0,0,0,0.00306,3e-04,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,3.74929,1.60401,2.07347,1.34742,2.81382,3.88242,3.23463,2.95443,3.24741,3.11967,1.23351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7953,1.35339,2.44668,1.65122,3.58342,1.58556,8.36902,1.33026,9.08405,1.42054,4.32866,6.00918,7.16622,3.4039,0,0,0,0,0,8.82204,4.36274,1.17834,3.67265,3.12828,5.01088,3.4091,6.79546,0,0,0,0,0,0,0,0,0,0,5.62173,5.7079,4.46045,8.96859,7.28257,0,0,0,0,0,0,0,0,0,0,0.15762,0.01029,0.01109,0.0763,0.25954,0.57955,0.03484,3.29318,0.16334,1.79224,2.51625,1.35817,0.39852,0.6284,0.10076,0.76503,0.61701,3.09645,1.45534,16.83062,4.65951,0.86689,1.73425,3.68737,1.41863,2.59935,3.12567,4.48592,6.81968,0,0,0,0,0,0,2.79007,0.24803,0.02301,28.33906,18.95091,0.01387,17.28814,12.02686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26724,0.11603,0.06398,0,0,0,0.27584,0,6.83966,0.23541,0.30366
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis",0,0.00279,0.00299,0.00813,0.00774,0,0,0,0.00945,0.00273,0.00657,0,0,0.83905,0.11398,1.94334,0.8527,0.73634,0.55379,0.08336,0,0,0.00091,0,0,0,0,0,0,0,0.00039,0.00041,0,0,0,0,0,0,0,0.00071,0,0,0,0,0.01626,0.02916,0,0.02954,0.04802,0.03346,0.02686,0,0.01692,0.04295,0.03158,0.05542,0,0.00336,0,0.00355,0.00085,0.00045,0.24654,0.00117,0.01898,0.00562,0.00939,0.00653,0.00339,0,0.00235,0.00451,0.00879,0.00291,0.01032,0.02301,0,0.01308,0.00155,0,0,0.00431,0.00114,0.00631,0.01226,0.00987,0.00719,0.00877,0,0,0,0,0,0,0,0,0,0,0.00534,6e-04,0,0.00086,0.00289,0.00229,0.00182,0.00796,0.00986,0.0076,0,0,0,0.01499,0.02662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379,0,0,0,0,0,0.00352,0.00309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01268,0.00152,0.02383,0.02181,0.01836,0.04323,0.00601,0.00157,0.00527,0.00491,0.00119,0,0.0102,0.00245,0,0,0,0,0.00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0,0.01275,0,0.44078,0.37026,0,1.1033,0.12115,0,0.12027,0.35421,0.33487,0,0.484,0.11949,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14105,0.0313,0.07357
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus",0,0.00274,0.00367,0,0,0,0,0,0,0,0.00381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0,0,0,0.01381,0.00969,0.00271,0.0025,0,0,0.00365,0.00258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00749,0.03594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus",0,0.00267,0.00294,0,0.00184,0,0,0,0,0,0,0,0.02986,0.02557,0.0315,0.04358,0.0217,0.00888,0.00951,0,0,0,0,0,0,0.01063,0,0,0,0.00401,0,0.00225,0,0,0,0,0,0,0,0.08681,0.0035,0.00418,0.00374,0.01519,0.00325,0,0,0,0.00163,0,0.00033,0.03713,0.00051,0.0028,0.00433,0,0,0,0,0,0.00358,0.00265,0.00133,0,0.00119,0,0,0.00623,0,0,0,0,0,0,0,0,0,0.00752,0.08452,0,0,0.00791,0,0.00848,0.04249,0.04329,0,0,0,0,0.00256,0,0,0,0,0.00215,0,0,0.00058,0,0,0,0.02801,0.03247,0.03659,0.00857,0,0,0,0,0,0.01754,0.01642,0.01871,0,0,0.05337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.60411,0,0.6724,0,0.01609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334,0,0.00531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03311,0,0,3.35424,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",0,0.00263,0.00418,0,0,0,0,0,0,0,0,0,0,0,0,0.1598,3.19841,1.63945,0.46679,4.23723,0,0,0,0,0,0,0,0,0,0,0.00163,0.00477,0,0,0,0,0,0,0,0.0038,0.00607,0.00594,0,0,3.77039,4.26254,0.5648,3.75976,5.61664,2.22942,4.15478,0,7.12732,25.03323,8.81522,6.79997,0,0,0,0,0.00044,0.00096,0.0036,0,0,0,0,0,6.34553,3.0584,4.42648,7.20173,2.31114,2.7491,12.21099,6.66909,6.9998,20.65377,2.47658,4.41074,6.39286,10.84511,8.66309,6.88314,6.12592,9.54446,12.75213,5.4509,7.35207,0,0,0,0,0,0,0,0.00062,0,0.00235,0,0,0,0.00426,0,0.00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69683,13.96694,1.81818,6.72254,0.97673,9.81393,0,0,0,0.01348,0.00429,0,0,0,0,0,0,0.00162,0,0.00635,0,0,0,0,0,0,0,0,0,1.65992,0.63567,0.93203,0.34002,0.49938,0,0.08583,0,0,0,0.14955,0,0.00978,0,0,11.31287,26.42178,11.60647,12.42323,3.34098,10.98542,11.98274,0,0.00531,0,0,0,0,0.0097,0,0,0,0,0,0,0,0,0,0,1.90831,0.00161,0.00163,0,0,0,0,0.00966,0,0,0,0.05652,36.66238,40.15169,2.84619,4.31885,45.2872,3.63621,11.20204,23.78837,4.01283,11.74094,3.85517,29.08894,2.54045,11.05046,18.01104,26.43469,6.78369,1.60973,0.17224,46.7124,0.13151,51.08021,1.28304,0,0.17901,0,20.97175,5.12455,13.6597,0,0.11827,0,0,0,0,0,0,20.39653,24.53735,7.63176,18.48227,3.08541,4.858,10.14638
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis",0,0.00207,0.0036,0,0,0,0,0,0,0,0.00244,0,0,0,0,0.01041,0.01032,0.01293,0.01417,0.00956,0,0.00064,0,0,0,0,0,0,0,0.00228,0.00109,0.00197,0,0,0,0,0,0,0,9e-04,0,0,0,0,0.007,0.00566,0,0.01301,0.01187,0.00899,0.01189,0,0.00873,0.01159,0.01141,0.02509,0,0.00189,0,0.00211,0,0,0.00606,0.00102,0.01383,0.00924,0.01076,0.0087,0,0,0,0,0.00488,0.00236,0,0,0,0.00697,0.00348,0,0.00103,0.0013,0.00272,0.00541,0.00836,0.00173,0,0.00136,0,0,0,0,0,0,0,0,0,0,0.00132,0,0,0,0.00207,0,0.00276,0.00139,0.00157,0.00085,0.00084,0,0,0.00328,0.00521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823,0.05827,0.05428,0.01416,0.09798,0.16993,0.02996,0,0,0,0,0,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa",0,0.00193,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142,0.00097,0,0,0,0,0,0,0.00035,0.01237,0.01263,0,0,0,0,0,0,0.01385,0,0,0,0,0,0.19004,0.02227,0.30436,0.01709,0.0326,0.03608,0.11086,0,0.02391,0.01408,0.09157,0.00554,0.01699,0,0,0,0.03164,0.0073,0.03157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04527,0,0,0,0,0,0,0,0.01596,0.04084,0.00122,0,0,0,0,0,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01517,0,0.067,0.02563,0.00821,0.00299,0.0072,0.00136,0,0,0,0,0,0.15343,0,0,0,0,0,0,0,0,0,0.03406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271,0,0,0,0,0,0,0,0,0,0.00276,0,0,0.03418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02128,0,0,0.05553,0.03636,0.07114,0,0.04208,0.01735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.00639,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus",0,0.00148,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06046,0,0,0,0.06182,0.11494,0.05823,0,0.20682,0.00829,0.00791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956,0,0,0,0,0,0,0,0,0,0,0,0.23006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03678,0,0,0.07919,0.03476,0.00294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00694,0,0.0747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16369,0,0,0,0
